Last room number : 6300
Room : 1 stayed by : people 1 , bus 1 , boat 1 , round 2
Room : 2 stayed by : people 2 , bus 1 , boat 1 , round 2
Room : 3 stayed by : people 1 , bus 2 , boat 1 , round 2
Room : 4 stayed by : people 3 , bus 1 , boat 1 , round 2
Room : 5 stayed by : people 1 , bus 1 , boat 2 , round 2
Room : 6 stayed by : people 2 , bus 2 , boat 1 , round 2
Room : 7 stayed by : people 1 , bus 1 , boat 1 , round 1
Room : 9 stayed by : people 1 , bus 3 , boat 1 , round 2
Room : 10 stayed by : people 2 , bus 1 , boat 2 , round 2
Room : 12 stayed by : people 3 , bus 2 , boat 1 , round 2
Room : 14 stayed by : people 2 , bus 1 , boat 1 , round 1
Room : 15 stayed by : people 1 , bus 2 , boat 2 , round 2
Room : 18 stayed by : people 2 , bus 3 , boat 1 , round 2
Room : 20 stayed by : people 3 , bus 1 , boat 2 , round 2
Room : 21 stayed by : people 1 , bus 2 , boat 1 , round 1
Room : 25 stayed by : people 1 , bus 1 , boat 3 , round 2
Room : 28 stayed by : people 3 , bus 1 , boat 1 , round 1
Room : 30 stayed by : people 2 , bus 2 , boat 2 , round 2
Room : 35 stayed by : people 1 , bus 1 , boat 2 , round 1
Room : 36 stayed by : people 3 , bus 3 , boat 1 , round 2
Room : 42 stayed by : people 2 , bus 2 , boat 1 , round 1
Room : 45 stayed by : people 1 , bus 3 , boat 2 , round 2
Room : 50 stayed by : people 2 , bus 1 , boat 3 , round 2
Room : 60 stayed by : people 3 , bus 2 , boat 2 , round 2
Room : 63 stayed by : people 1 , bus 3 , boat 1 , round 1
Room : 70 stayed by : people 2 , bus 1 , boat 2 , round 1
Room : 75 stayed by : people 1 , bus 2 , boat 3 , round 2
Room : 84 stayed by : people 3 , bus 2 , boat 1 , round 1
Room : 90 stayed by : people 2 , bus 3 , boat 2 , round 2
Room : 100 stayed by : people 3 , bus 1 , boat 3 , round 2
Room : 105 stayed by : people 1 , bus 2 , boat 2 , round 1
Room : 126 stayed by : people 2 , bus 3 , boat 1 , round 1
Room : 140 stayed by : people 3 , bus 1 , boat 2 , round 1
Room : 150 stayed by : people 2 , bus 2 , boat 3 , round 2
Room : 175 stayed by : people 1 , bus 1 , boat 3 , round 1
Room : 180 stayed by : people 3 , bus 3 , boat 2 , round 2
Room : 210 stayed by : people 2 , bus 2 , boat 2 , round 1
Room : 225 stayed by : people 1 , bus 3 , boat 3 , round 2
Room : 252 stayed by : people 3 , bus 3 , boat 1 , round 1
Room : 300 stayed by : people 3 , bus 2 , boat 3 , round 2
Room : 315 stayed by : people 1 , bus 3 , boat 2 , round 1
Room : 350 stayed by : people 2 , bus 1 , boat 3 , round 1
Room : 420 stayed by : people 3 , bus 2 , boat 2 , round 1
Room : 450 stayed by : people 2 , bus 3 , boat 3 , round 2
Room : 525 stayed by : people 1 , bus 2 , boat 3 , round 1
Room : 630 stayed by : people 2 , bus 3 , boat 2 , round 1
Room : 700 stayed by : people 3 , bus 1 , boat 3 , round 1
Room : 900 stayed by : people 3 , bus 3 , boat 3 , round 2
Room : 1050 stayed by : people 2 , bus 2 , boat 3 , round 1
Room : 1260 stayed by : people 3 , bus 3 , boat 2 , round 1
Room : 1575 stayed by : people 1 , bus 3 , boat 3 , round 1
Room : 2100 stayed by : people 3 , bus 2 , boat 3 , round 1
Room : 3150 stayed by : people 2 , bus 3 , boat 3 , round 1
Room : 6300 stayed by : people 3 , bus 3 , boat 3 , round 1
